NUGGETS ID,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
5623d2cb9d12690021000010,88,1835
53bc19e79a9bf15cb0000051,133,1442
561eb2439fa9c1001b000270,6,1143
562bb53fdc350f00330000d3,9,932
564a5351e448af003000007b,2,696
561ec585c11f5500240002a8,14,648
563a44f3603afb0018000110,0,630
5637c7c673d8a3001e0000b0,14,595
5628780df0f7580024000009,4,590
5617d30d6530d400330000f3,9,584
563a37d5fbfc43001b0000a2,7,573
563cb2b0888761002c00014f,33,565
562819ef64fa270028000011,11,554
561411b7088a040031000148,12,542
560c33e7353266000d330300,5,532
54af525e366333001e2a0000,33,530
564a3b8759c5b4002a00000b,6,529
5434e8b9fc61e2708600000b,28,525
563cd98c888761002100025f,8,525
561d6e326c67d40033000136,3,510
564212cc360a15001e000159,35,502
5624ffc8533f5900330000aa,17,494
5638d91333bd8c0029000002,1,488
56344c4a13be6f0027000059,15,486
544c6a8e83dd54a3ec00000c,10,480
564363f335095a003000014d,0,469
562e62dc84e4bf0033000144,26,462
547f269e65386500182c0000,7,452
56319c90a6eb0d002d000009,12,449
5613b6c3b4d99300310000be,7,448
562bb5013a0aa3001e0000dc,1,447
564b9efe85758800270000ea,32,440
5615770c3b1fa8001800017a,5,440
561bb02016d689003000004d,12,431
562950c7c990fb001e0001d5,9,429
5643564435095a002a00013c,5,422
560e8f643605d300190000c1,10,420
560afce8303437000d1d0000,5,419
562933e3258092002700013e,10,419
565356b13965e0001b000158,5,417
5627ea3a5d8266002100000c,20,414
56439b1935095a001e00028e,22,411
5625540df3f01f0018000245,9,406
5631b763a6eb0d0018000025,1,399
56211d6f2c52bb0033000182,1,398
5617d4906530d40030000128,26,398
560d83521b74310026000009,4,391
562017120ed319002a00020a,3,391
56254e07533f59001b000274,10,378
564506611ed25b00210000f2,16,376
563cc06f001beb001b000187,1,376
56294205c990fb0021000164,5,373
5643af5c171e30003300033d,1,372
560d5f7c3861310025140400,16,368
5612b854b5bb9b0020000022,6,366
5612c871b5bb9b002900009e,11,366
56412dd8360a15002f000026,14,363
5638cbf75d2a7f001b0001f7,3,362
5642563188ba7f002d000318,15,358
